"research_gap_id","content_type","topic_title","category","primary_keyword","secondary_keywords","search_volume","keyword_difficulty","priority","topic_type","target_competitor","our_competitive_advantage","word_count_target","expert_required","estimated_ranking_time","estimated_monthly_traffic","internal_linking_opportunities","content_upgrade_idea","regulatory_requirements","approval_status","model_used","browser_search_enabled","topic_id","created_at"
"GAP-069","ymyl","Tax‑Saving Strategies for Salaried Professionals FY 2025‑26","tax_planning","tax saving strategies 2025","best tax saver funds 2025,nps tax benefits 2025,salary tax planning tips","13800","26","High","competitive_strike","ETMoney","Up‑to‑date tax slabs, ELSS vs NPS comparison tool, downloadable checklist","2100","true","30","8000","salary-tax-planning,elss-vs-nps,investment-tax-deductions","Tax Saving Strategy Checklist PDF","Income Tax Act compliance, SEBI disclaimer for investment advice","Yes","openai/gpt-oss-20b","1","TOPIC-840","2025-10-23T16:10:51.868Z"
"GAP-042","ymyl","Tax‑Saving Investment Strategies Beyond 80C FY 2025‑26","tax_planning","tax saving investments 2025","best ELSS funds 2025,NPS tax benefits,digital gold tax 2025","11200","29","High","competitive_strike","ETMoney","Comprehensive table of all tax‑saving instruments, calculator for total tax saved, expert commentary on upcoming budget changes","2400","true","35","7000","tax-saving-instruments,elss-funds,investment-tax-benefits","Tax Saving Investment Calculator","Income Tax Act, SEBI disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-841","2025-10-23T16:10:51.868Z"
"GAP-068","ymyl","Retirement Planning Blueprint: Build ₹5 Crore Corpus by 2045","retirement_planning","retirement planning india","how to build retirement corpus,retirement calculator 2025,best retirement funds india","10200","31","High","competitive_strike","ETMoney","Interactive retirement calculator, scenario analysis, expert video series","3200","true","40","6500","retirement-corpus-builder,retirement-scenario-analysis,retirement-funds","Interactive Retirement Calculator","SEBI risk disclaimer, RBI pension guidelines","Yes","openai/gpt-oss-20b","1","TOPIC-842","2025-10-23T16:10:51.868Z"
"GAP-035","ymyl","Retirement Planning Roadmap for Indian Professionals 2025","retirement_planning","retirement planning roadmap","NPS,asset allocation,retirement strategy 2025","9700","25","High","competitive_strike","ETMoney","Interactive retirement calculator, asset‑allocation timeline, tax‑saving strategies, video interview with pension expert","2800","true","45","6000","nps-benefits,asset-allocation-plan,retirement-roadmap","Retirement Roadmap PDF","SEBI NPS guidelines, RBI pension fund rules, mandatory risk disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-843","2025-10-23T16:10:51.868Z"
"GAP-116","ymyl","Tax‑Efficient Investment Strategies for Salaried Professionals 2025","tax_planning","tax efficient investment india","tax saving investments 2025,best tax saving funds india,tax planning for salaried","13000","26","High","competitive_strike","ETMoney","Interactive tax‑saving calculator, downloadable tax‑saving plan, expert video series","2600","true","30","9000","tax-saving-plan,investment-tax-deductions,financial-planning","Tax Saving Plan Template","Income Tax Act disclaimer, SEBI risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-844","2025-10-23T16:10:51.868Z"
"GAP-066","ymyl","Maximizing Tax Savings with ELSS, NPS & Insurance 2025","tax_planning","tax saving strategies india 2025","best elss funds 2025,how to invest in nps,insurance tax benefits india","11500","29","High","competitive_strike","ETMoney","Side‑by‑side calculator, scenario analysis, compliance checklist","2600","true","30","8000","elss-funds,insurance-tax-benefits,nps-investment","Tax Saving Comparison Calculator","Income Tax Act references, SEBI ELSS guidelines","Yes","openai/gpt-oss-20b","1","TOPIC-845","2025-10-23T16:10:51.868Z"
"GAP-005","ymyl","Step‑by‑Step Guide to Filing ITR for High‑Income Professionals 2025","tax_planning","how to file itr high income","itr filing guide 2025,tax filing for salaried professionals,high income tax deductions","9800","32","Medium","authority_builder","ETMoney","Downloadable checklist, video walkthrough, integration with PL Capital advisory service","3000","true","40","5500","itr-filing-checklist,high-income-tax-deductions,pl-capital-advisory","ITR Filing Checklist PDF","Income Tax Act compliance, disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-846","2025-10-23T16:10:51.868Z"
"GAP-013","ymyl","Step‑by‑Step Guide to Section 80C & 80D Tax Deductions FY 2025‑26","tax_planning","section 80c tax deduction 2025","section 80d limit 2025,tax saving investments FY 2025,how to claim 80c","9800","32","Medium","authority_builder","ETMoney","Up‑to‑date 2025‑26 limits, real‑world case studies, downloadable checklist","2200","true","40","5500","80c-80d-deductions,investment-tax-deductions,case-studies","80C/80D Deduction Checklist","SEBI & RBI compliance, disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-847","2025-10-23T16:10:51.868Z"
"GAP-001","ymyl","Index Funds vs Mutual Funds 2025: Complete Guide","mutual_funds","index funds vs mutual funds","best index funds 2025,index fund calculator,passive investing india","12000","28","High","authority_builder","Groww","Include 2025 expense ratio data, interactive calculator, video comparisons, expert CFA quotes","2500","true","60","8500","passive-investing-guide,sip-calculator,mutual-fund-taxation","Interactive Index Fund vs Mutual Fund Calculator","SEBI disclaimer,Risk warning,Past performance disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-848","2025-10-23T16:10:51.868Z"
"GAP-018","ymyl","2025 Mutual Fund Expense Ratio Comparison Guide","mutual_funds","mutual fund expense ratio 2025","mutual fund fees comparison,lowest expense ratio funds india,expense ratio calculator","14000","27","High","authority_builder","Groww","Real‑time API feed of expense ratios, interactive sortable table, downloadable CSV, expert commentary on fee impact","2200","true","60","9500","expense-ratio-comparison,mutual-fund-fees,investment-costs","Expense Ratio Comparison CSV","SEBI disclosure, risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-849","2025-10-23T16:10:51.868Z"
"GAP-103","ymyl","Top 10 Mutual Funds for SIP 2025: Complete Ranking","mutual_funds","best mutual funds for SIP","top mutual funds 2025,SIP mutual fund ranking,investment-performance","12000","28","High","authority_builder","ETMoney","2025 performance tables, expense‑ratio comparison, tax‑saving analysis","2500","true","60","8000","sip-funds,mutual-fund-performance,expense-ratio","SIP Fund Performance Dashboard","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-850","2025-10-23T16:10:51.868Z"
"GAP-099","ymyl","Best Wealth Management Apps in India 2025: Complete Review","wealth_apps","best wealth management apps in India","wealth app comparison,top wealth apps 2025,investment app reviews","10000","25","High","authority_builder","Groww","Interactive comparison table, video walkthroughs, expert rating system","2500","true","60","7000","wealth-apps,investment-apps,financial-planning-tools","Wealth App Comparison Spreadsheet","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-851","2025-10-23T16:10:51.868Z"
"GAP-057","listicle","Top 10 Wealth Management Apps in India 2025","wealth_apps","best wealth management apps india","wealth app comparison,top finance apps 2025,investment app reviews","12000","28","High","competitive_strike","ETMoney","2025 feature matrix, user‑experience scores, security audit summary, CTA to PL Capital demo","2000","false","45","7500","wealth-apps,investment-apps,financial-tools","Wealth App Feature Matrix PDF","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-852","2025-10-23T16:10:51.868Z"
"GAP-103","listicle","Top 10 Mutual Funds for SIP 2025","mutual_funds","best mutual funds for SIP","top mutual funds 2025,SIP mutual fund ranking,investment-performance","12000","28","High","competitive_strike","ETMoney","2025 performance tables, expense‑ratio comparison, tax‑saving analysis","1800","false","45","7000","sip-funds,mutual-fund-performance,expense-ratio","SIP Fund Ranking Spreadsheet","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-853","2025-10-23T16:10:51.868Z"
"GAP-042","listicle","Top 10 Tax Saving Instruments 2025","tax_planning","tax saving investments 2025","best ELSS funds 2025,NPS tax benefits,digital gold tax 2025","11200","29","High","competitive_strike","ETMoney","Comprehensive ranking, side‑by‑side comparison, tax impact calculator","1700","false","45","6500","tax-saving-instruments,elss-funds,nps-benefits","Tax Saving Instruments Checklist","Income Tax Act, SEBI disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-854","2025-10-23T16:10:51.868Z"
"GAP-068","listicle","Top 10 Retirement Planning Tools 2025","retirement_planning","retirement planning india","retirement calculator,asset allocation,retirement funds","10200","31","High","competitive_strike","ETMoney","Interactive tools, scenario analysis, expert insights","1600","false","45","6000","retirement-tools,asset-allocation,retirement-funds","Retirement Planning Toolkit PDF","SEBI risk disclaimer, RBI pension guidelines","Yes","openai/gpt-oss-20b","1","TOPIC-855","2025-10-23T16:10:51.868Z"
"GAP-093","listicle","Top 10 Personal Finance Apps 2025","personal_finance","zero based budgeting india","budgeting templates india,best budgeting apps 2025,financial planning tools","10200","22","High","competitive_strike","ETMoney","Free downloadable templates, app comparison matrix, video walkthrough, integration tips","1500","false","30","5000","budgeting-templates,budgeting-apps,financial-planning","Zero-Based Budget Template PDF","None","Yes","openai/gpt-oss-20b","1","TOPIC-856","2025-10-23T16:10:51.868Z"
"GAP-093","listicle","Top 10 Budgeting Apps 2025","personal_finance","zero based budgeting india","budgeting templates india,best budgeting apps 2025,financial planning tools","10200","22","High","competitive_strike","ETMoney","Free templates, app comparison, video walkthrough, integration tips","1400","false","30","4800","budgeting-templates,budgeting-apps,financial-planning","Budgeting App Comparison Sheet","None","Yes","openai/gpt-oss-20b","1","TOPIC-857","2025-10-23T16:10:51.868Z"
"GAP-085","news","2025 Indian Stock Market Outlook: Sector Trends & Forecasts","stock_market","Indian stock market outlook 2025","2025 sector trends india,stock market forecast india 2025,valuation metrics indian stocks","17000","38","High","authority_builder","Zerodha Varsity","Quarterly outlook report, sector‑wise valuation tables, expert video analysis, downloadable PDF","3200","true","55","12000","sector-trends,valuation-metrics,market-forecast","Stock Market Outlook PDF","SEBI disclaimer,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-858","2025-10-23T16:10:51.868Z"
"GAP-069","news","2025 Income Tax Budget Updates: New Slabs & Deductions","tax_planning","tax saving strategies 2025","income tax budget 2025,new tax slabs,deduction changes","13800","26","High","authority_builder","ETMoney","Latest budget details, expert commentary, interactive tax calculator","2000","true","35","8000","budget-updates,slabs-deductions,tax-planning","Income Tax Budget Summary PDF","Income Tax Act compliance, SEBI disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-859","2025-10-23T16:10:51.868Z"
"GAP-018","news","2025 SEBI Regulations on Mutual Fund Expense Ratios","mutual_funds","mutual fund expense ratio 2025","mutual fund fees regulation,expense ratio changes 2025,SEBI guidelines","14000","27","High","authority_builder","Groww","Real‑time updates, expert analysis, compliance checklist","1800","true","45","9000","expense-ratio-regulation,mutual-fund-fees,SEBI-guidelines","Expense Ratio Regulation Summary PDF","SEBI disclosure, risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-860","2025-10-23T16:10:51.868Z"
"GAP-010","blog","How to Build a Diversified Equity Portfolio in India","stock_market","how to build diversified equity portfolio","equity portfolio allocation India,best Indian ETFs 2025,diversified stock portfolio guide","15000","35","High","competitive_strike","Zerodha","Sector‑wise allocation matrix, risk tolerance quiz, case studies, recommended ETFs","2800","true","60","11000","equity-portfolio,sector-allocation,ETFs-2025","Equity Portfolio Builder Tool","SEBI disclaimer, risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-861","2025-10-23T16:10:51.868Z"
"GAP-093","blog","Zero‑Based Budgeting for Indian Millennials: Templates & Apps 2025","personal_finance","zero based budgeting india","budgeting templates india,best budgeting apps 2025,financial planning tools","10200","22","High","competitive_strike","ETMoney","Free downloadable templates, app comparison matrix, video walkthrough, integration tips with PL Capital dashboard","1900","false","30","5500","budgeting-templates,budgeting-apps,financial-planning","Zero-Based Budget Template PDF","None","Yes","openai/gpt-oss-20b","1","TOPIC-862","2025-10-23T16:10:51.868Z"
"GAP-066","blog","ELSS vs NPS: Which is Better for 2025?","tax_planning","elss vs nps 2025","elss tax benefits 2025,nps tax benefits 2025,investment comparison","11500","29","High","competitive_strike","ETMoney","Side‑by‑side comparison, risk analysis, tax impact calculator","2400","true","35","7500","elss-benefits,nps-benefits,investment-comparison","ELSS vs NPS Comparison Chart","Income Tax Act, SEBI disclosure","Yes","openai/gpt-oss-20b","1","TOPIC-863","2025-10-23T16:10:51.868Z"
"GAP-005","blog","How to File ITR for High‑Income Professionals in 2025","tax_planning","how to file itr high income","itr filing guide 2025,high income tax deductions,online filing steps","9800","32","Medium","competitive_strike","ETMoney","Step‑by‑step walkthrough, video tutorial, downloadable checklist, integration with advisory services","2800","true","45","6000","itr-filing-steps,high-income-deductions,online-ITR","ITR Filing Video Tutorial","Income Tax Act compliance, disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-864","2025-10-23T16:10:51.868Z"
"GAP-069","ymyl","Tax‑Saving Strategies for Salaried Professionals FY 2025‑26","tax_planning","tax saving strategies 2025","best tax saver funds 2025,nps tax benefits 2025,salary tax planning tips","13800","26","High","authority_builder","ETMoney","Up‑to‑date new tax slabs, ELSS vs NPS comparison tool, downloadable checklist","2100","true","45","8000","tax-planning-guide,elss-investments,financial-planning","Downloadable Tax Saving Checklist","Income Tax Act compliance, SEBI disclaimer for investment advice","Yes","openai/gpt-oss-20b","1","TOPIC-865","2025-10-23T16:10:51.868Z"
"GAP-042","ymyl","Tax‑Saving Investment Strategies Beyond 80C FY 2025‑26","tax_planning","tax saving investments 2025","best ELSS funds 2025,NPS tax benefits,digital gold tax 2025","11200","29","High","authority_builder","ETMoney","Comprehensive table of all tax‑saving instruments, calculator for total tax saved, expert commentary on upcoming budget changes","2400","true","50","7500","elss-funds,nps-investments,digital-gold","Tax Saving Investment Calculator","Income Tax Act, SEBI disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-866","2025-10-23T16:10:51.868Z"
"GAP-068","ymyl","Retirement Planning Blueprint: ₹5 Crore Corpus by 2045","retirement_planning","retirement planning india","how to build retirement corpus,retirement calculator 2025,best retirement funds india","10200","31","High","authority_builder","ETMoney","Interactive retirement calculator, scenario analysis, expert video series","3200","true","55","7000","retirement-corpus,retirement-calculator,retirement-funds","Interactive Retirement Calculator","SEBI risk disclaimer, RBI pension guidelines","Yes","openai/gpt-oss-20b","1","TOPIC-867","2025-10-23T16:10:51.868Z"
"GAP-001","ymyl","Index Funds vs Mutual Funds 2025: Complete Guide","mutual_funds","index funds vs mutual funds","best index funds 2025,index fund calculator,index fund returns","12000","28","High","authority_builder","Groww","2025 expense ratio table, interactive calculator, video comparison, expert interview","2500","true","60","8500","passive-investing-guide,sip-calculator,mutual-fund-taxation","Index Fund vs Mutual Fund Calculator","SEBI disclosure,Risk warning,Past performance disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-868","2025-10-23T16:10:51.868Z"
"GAP-099","ymyl","Best Wealth Management Apps India 2025: Full Review","wealth_apps","best wealth management apps in India","wealth app comparison,top wealth apps 2025","10000","25","High","authority_builder","Groww","Interactive comparison table, video walkthroughs, expert rating system","2500","true","60","8000","wealth-apps,investment-apps,financial-planning","Wealth App Feature Matrix PDF","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-869","2025-10-23T16:10:51.868Z"
"GAP-103","ymyl","Top 10 Mutual Funds for SIP 2025: Best Picks","mutual_funds","best mutual funds for SIP","top mutual funds 2025,SIP mutual fund ranking","12000","28","High","authority_builder","ETMoney","2025 performance tables, expense‑ratio comparison, tax‑saving analysis","2500","true","60","8500","sip-guide,mutual-fund-performance,tax-saving-funds","SIP Mutual Fund Ranking Spreadsheet","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-870","2025-10-23T16:10:51.868Z"
"GAP-035","ymyl","Retirement Planning Roadmap 2025: Indian Professionals","retirement_planning","retirement planning roadmap","NPS,asset allocation","9700","25","High","authority_builder","ETMoney","Interactive retirement calculator, asset‑allocation timeline, tax‑saving strategies, video interview","2800","true","55","7500","nps-guide,asset-allocation,retirement-tax","Retirement Asset Allocation Planner","SEBI NPS guidelines,RBI pension fund rules,mandatory risk disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-871","2025-10-23T16:10:51.868Z"
"GAP-066","ymyl","Maximize Tax Savings: ELSS, NPS & Insurance 2025","tax_planning","tax saving strategies india 2025","best elss funds 2025,how to invest in nps,insurance tax benefits india","11500","29","High","authority_builder","ETMoney","Side‑by‑side calculator, scenario analysis, compliance checklist","2600","true","45","8000","elss-funds,nps-investments,insurance-tax","Tax Saving Strategy Calculator","Income Tax Act references,SEBI ELSS guidelines","Yes","openai/gpt-oss-20b","1","TOPIC-872","2025-10-23T16:10:51.868Z"
"GAP-085","ymyl","2025 Indian Stock Market Outlook: Trends & Forecasts","stock_market","Indian stock market outlook 2025","2025 sector trends india,stock market forecast india 2025,valuation metrics indian stocks","17000","38","Medium","authority_builder","Zerodha Varsity","Quarterly outlook report, sector‑wise valuation tables, expert video analysis, downloadable PDF","3200","true","65","9000","sector-trends,valuation-metrics,market-forecast","Stock Market Outlook PDF","SEBI disclaimer,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-873","2025-10-23T16:10:51.868Z"
"GAP-116","ymyl","Tax‑Efficient Investments for Salaried Professionals 2025","tax_planning","tax efficient investment india","tax saving investments 2025,best tax saving funds india,tax planning for salaried","13000","26","High","authority_builder","ETMoney","Interactive tax‑saving calculator, downloadable tax‑saving plan, expert video series","2600","true","45","8500","tax-saving-calculator,salaried-investments,tax-planning","Tax Saving Plan Template","Income Tax Act disclaimer,SEBI risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-874","2025-10-23T16:10:51.868Z"
"GAP-093","blog","Zero‑Based Budgeting for Millennials 2025: Templates & Apps","personal_finance","zero based budgeting india","budgeting templates india,best budgeting apps 2025","10200","22","High","quick_win","None","Free downloadable templates, app comparison matrix, video walkthrough, integration tips","1900","false","35","6000","budgeting-templates,budgeting-apps,personal-finance","Zero‑Based Budget Template Pack","None","Yes","openai/gpt-oss-20b","1","TOPIC-875","2025-10-23T16:10:51.868Z"
"GAP-057","blog","Wealth App Comparison 2025: Which App Wins?","wealth_apps","best wealth management apps india","wealth app comparison,top finance apps 2025,investment app reviews","12000","28","High","quick_win","Groww","2025 feature matrix, user‑experience scores, security audit summary, CTA to PL Capital demo","2600","false","45","8000","wealth-apps,investment-apps,financial-planning","Wealth App Feature Comparison PDF","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-876","2025-10-23T16:10:51.868Z"
"GAP-005","blog","Step‑by‑Step ITR Filing for High‑Income Professionals 2025","tax_planning","how to file itr high income","itr filing guide 2025,tax filing for salaried professionals,high income tax deductions","9800","32","High","quick_win","ETMoney","Downloadable checklist, video walkthrough, integration with PL Capital advisory","3000","true","55","7000","itr-filing,high-income-deductions,tax-forms","ITR Filing Checklist","Income Tax Act compliance,disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-877","2025-10-23T16:10:51.868Z"
"GAP-010","blog","Build a Diversified Equity Portfolio: Beginner's Blueprint","stock_market","how to build diversified equity portfolio","equity portfolio allocation India,best Indian ETFs 2025,diversified stock portfolio guide","15000","35","High","quick_win","Zerodha","Sector‑wise allocation matrix, risk tolerance quiz, case studies, recommended ETFs","2800","true","65","9000","equity-portfolio,etf-guide,sector-allocation","Equity Portfolio Allocation Worksheet","SEBI disclaimer,risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-878","2025-10-23T16:10:51.868Z"
"GAP-013","blog","Section 80C & 80D Deductions FY 2025‑26: Step‑by‑Step Guide","tax_planning","section 80c tax deduction 2025","section 80d limit 2025,tax saving investments FY 2025,how to claim 80c","9800","32","High","quick_win","ETMoney","Up‑to‑date 2025‑26 limits, real‑world case studies, downloadable checklist","2200","true","55","7000","80c-guide,80d-guide,tax-deductions","80C/80D Claim Checklist","SEBI & RBI compliance,disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-879","2025-10-23T16:10:51.868Z"
"GAP-018","blog","2025 Mutual Fund Expense Ratio Comparison Guide","mutual_funds","mutual fund expense ratio 2025","mutual fund fees comparison,lowest expense ratio funds India,expense ratio calculator","14000","27","High","quick_win","Groww","Real‑time API feed, interactive sortable table, downloadable CSV, expert commentary","2200","true","60","8000","expense-ratio,fund-fees,mutual-fund-comparison","Expense Ratio CSV Download","SEBI disclosure,risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-880","2025-10-23T16:10:51.868Z"
"GAP-069","listicle","Top 5 ELSS Funds for Tax Savings 2025","investment_strategies","best elss funds 2025","elss tax saving,elss 2025 returns,elss investment","13800","26","High","competitive_strike","ETMoney","Updated 2025 performance, expense ratios, risk ratings, expert picks","1200","true","45","6500","elss-guide,tax-saving-funds,investment-strategies","ELSS Fund Comparison Spreadsheet","Income Tax Act compliance,SEBI disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-881","2025-10-23T16:10:51.868Z"
"GAP-042","listicle","Top 7 Digital Gold Investment Options 2025","investment_strategies","digital gold tax 2025","digital gold investment,gold ETF,gold savings","11200","29","High","competitive_strike","ETMoney","Latest tax treatment, fee comparison, risk analysis, expert commentary","1200","true","50","6000","digital-gold,gold-ETF,tax-on-gold","Digital Gold Investment Guide PDF","Income Tax Act,SEBI disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-882","2025-10-23T16:10:51.868Z"
"GAP-068","listicle","10 Best Retirement Funds India 2025","retirement_planning","best retirement funds india","retirement fund 2025,pension funds,retirement investment","10200","31","High","competitive_strike","ETMoney","2025 returns, expense ratios, tax benefits, expert ratings","1200","true","55","6500","retirement-funds,pension-planning,retirement-investments","Retirement Fund Comparison Chart","SEBI risk disclaimer,RBI pension guidelines","Yes","openai/gpt-oss-20b","1","TOPIC-883","2025-10-23T16:10:51.868Z"
"GAP-099","listicle","8 Best Wealth Management Apps India 2025","wealth_apps","wealth app comparison","top wealth apps 2025,investment app reviews,financial app comparison","10000","25","High","competitive_strike","Groww","Updated 2025 features, UX scores, security audit, expert ratings","1200","true","60","7000","wealth-apps,investment-apps,financial-planning","Wealth App Feature Comparison PDF","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-884","2025-10-23T16:10:51.868Z"
"GAP-103","listicle","12 Best Mutual Funds for SIP 2025","mutual_funds","best mutual funds for SIP","top mutual funds 2025,SIP ranking,mutual fund SIP","12000","28","High","competitive_strike","ETMoney","2025 performance, expense ratios, tax benefits, expert picks","1200","true","60","7500","sip-guide,mutual-fund-performance,tax-saving-funds","SIP Mutual Fund Ranking Spreadsheet","SEBI disclosure,Risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-885","2025-10-23T16:10:51.868Z"
"GAP-069","news","New Income Tax Slabs Announced for FY 2025‑26","tax_planning","income tax slabs 2025","new tax slabs 2025,income tax 2025,tax rates 2025","13800","26","Medium","news","ETMoney","Immediate coverage, expert commentary, downloadable slab chart","800","true","30","5000","tax-slab-guide,tax-planning,income-tax","Income Tax Slab PDF","Income Tax Act compliance","Yes","openai/gpt-oss-20b","1","TOPIC-886","2025-10-23T16:10:51.868Z"
"GAP-069","news","SEBI Updates on ELSS Fund Regulations 2025","tax_planning","SEBI ELSS regulations 2025","ELSS guidelines 2025,SEBI ELSS rules,ELSS compliance","13800","26","Medium","news","ETMoney","First to report, expert analysis, compliance checklist","800","true","35","4500","elss-regulations,tax-saving-funds,compliance-checklist","ELSS Compliance Checklist","SEBI guidelines compliance","Yes","openai/gpt-oss-20b","1","TOPIC-887","2025-10-23T16:10:51.868Z"
"GAP-069","news","RBI Announces New Pension Scheme Guidelines 2025","retirement_planning","RBI pension guidelines 2025","new pension rules 2025,RBI pension scheme,pension regulations","13800","26","Medium","news","ETMoney","Timely update, expert commentary, actionable steps","800","true","35","4500","pension-guidelines,retirement-planning,RBI pension","Pension Guidelines Summary PDF","RBI pension guidelines compliance","Yes","openai/gpt-oss-20b","1","TOPIC-888","2025-10-23T16:10:51.868Z"
"GAP-042","news","Digital Gold Tax Treatment Changes 2025","tax_planning","digital gold tax 2025","digital gold tax changes,gold tax 2025,digital gold regulations","11200","29","Medium","news","ETMoney","First to cover, expert insights, downloadable guide","800","true","35","4000","digital-gold,gold-tax,investment-options","Digital Gold Tax Guide PDF","Income Tax Act,SEBI disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-889","2025-10-23T16:10:51.868Z"
